Time(s),LINEAR ACCELERATION X (m/s2),LINEAR ACCELERATION Y (m/s2),LINEAR ACCELERATION Z (m/s2)
118012,-0.027,-0.0205,-0.003
118511,0.0278,0.0329,-0.0096
119010,6.00E-04,0.0139,0.0108
119511,0.0185,0.017,-0.0042
120011,0.0875,-0.0155,-0.0056
120511,-0.012,-0.0365,-0.0074
121010,0.0071,-0.0542,-0.103
121510,0.012,-0.0173,0.0049
122010,0.0027,0.0137,-5.00E-04
122510,8.00E-04,-0.0032,0.0034
123009,-0.0063,-0.0058,0.0037
123510,0.0028,0.0089,-0.0038
124011,-8.00E-04,-0.0144,-0.0039
124511,0.0106,-0.0176,-0.0062
125011,0.0112,-7.00E-04,-0.0047
125510,-0.0081,0.017,0.0049
126010,0.024,-0.0031,-0.0077
126509,0.0326,-0.0123,-0.0196
127010,-0.0195,0.0108,0.006
127510,0.0125,0.0267,-5.00E-04
128010,0.0029,-0.0462,-0.0082
128510,0.0155,-0.0017,-0.0022
129011,-0.0097,-0.007,0.0072
129510,-0.0417,-0.0325,0.0104
130011,0.0126,-0.0084,-0.0027
130511,0.0013,-0.0184,8.00E-04
131010,-0.0055,-0.01,0.0036
131511,0.0167,-0.015,0.0036
132012,-0.0071,-0.0054,0.0029
132513,0.0043,0.0054,-0.0031
133009,-0.009,0.0027,0.0033
133511,0.0099,0.0156,0.0016
134010,0.0067,-0.0244,0.0013
134511,3.00E-04,0.0136,0.0031
135011,-0.0084,0.0907,0.0054
135513,0.0127,-0.0015,-0.0031
136011,-0.0047,-0.0269,0.0014
136512,-0.013,-0.0282,-0.0025
137009,0.0193,0.0232,-0.0027
137511,-0.0084,0.0014,5.00E-04
138011,0.0029,0.002,-0.0048
138511,-0.0042,-0.0298,0.0017
139010,0.0113,0.0323,0.0801
139511,-0.0117,-0.0061,-0.0026
140009,0.0135,0.0069,-0.008
140510,-0.0098,-0.0157,-9.00E-04
141009,0.0271,0.0283,-0.0037
141510,-0.0322,-0.0412,0.0151
142012,0.0204,0.004,-0.0062
142510,-8.00E-04,-0.2725,-0.0088
143010,0.025,0.1137,0.0029
143511,-0.0079,-0.0566,-0.0015
144013,0.0157,0.0402,-0.0143
144511,0.0055,-0.0164,-0.0033
145012,-0.0042,-0.0034,0.0061
145512,0.0042,0.0062,-4.00E-04
146011,-0.0107,-0.0052,0.0078
146511,-0.0036,5.00E-04,0.0048
147012,0.0071,0.0014,0.0011
147510,-0.0063,-0.0028,0.0053
148011,-0.0022,-0.0018,-0.0376
148510,0.0069,-0.0108,3.00E-04
149010,-0.0046,0.0026,0.0025
149510,0.0175,0.0127,-0.0102
150010,-0.0099,0.003,0.0065
